@odata.etag,ItemInternalId,Organiser,Event Name,Category of the Event,Date of the Event,Start Time,Open To,Collaborators,Event Status,Venue
,450404b8-6332-484f-8dd1-cbc59eeec2d0,Student Research Forum (SRF) (SONAM),"Inside a Thesis: Methods, Challenges, and Lessons Learned",Workshop/Session,46056,1300 Hours,SONAM Students,None,Approved,
,a0f1f89d-9ad8-4cd8-8d2d-e1507069273b,Student Research Forum (SRF) (MBBS),Journal Club Session with Dr. Hamzah Jehanzeb,Workshop/Session,46064,5:30 PM,All MBBS batches,None,Approved,
,fcb6e162-46b6-48a1-ac14-a2aa9dcddb11,Society of Climate Conservation and Health (SoCCH),World Wetlands Day Group Photo,Recreational/Social,46055,2:00 PM,"Students (FAS, SONAM, MBBS)",None,Approved,
,cd1843e9-c3a2-4305-a8d3-1cfe6025c2fe,Student Research Forum (SRF) (MBBS),Stepping Stones,Workshop/Session,46063,5:00 pm,MBBS students,None,Approved,
,d4c81a41-1968-4cc0-b899-e70c309f8805,FALAH (MBBS),Red themed bakesale,Welfare,46066,11:00am,Open to all students and faculty,Publication and Literary Society (APLS) (MBBS),Approved,
,4aeb2675-7e91-48c7-816e-07851fa4ce40,Society for Arts and Culture,Orientation,Orientation,46062,5:15,Everyone,None,Approved,Lecture Hall 1
,eeed79ed-5698-41a0-a804-b95ab127abab,AKU Athletics Club,AAC Club Orientation,Workshop/Session,46063,5:30 PM,All Undergraduate Programme Students ,Office of Student Experience Pakistan (OSEP);Office of Student Experience - Global,Approved,
,b421cd62-0953-4bd1-a5e4-f23a20c1f200,FALAH (MBBS),General body meeting,Meeting,46057,05:00pm,Falah General body ,None,Approved,Lecture Hall 3
,64ef9caf-1e45-4a25-b343-f235ba7ec684,FALAH (MBBS),Falah orientation ,Orientation,46062,5:00 pm,Mbbs,None,Approved,Lecture Hall 3
,797ccd2f-7567-41bf-ad65-6c5d6947c6e1,Synergy (MBBS),Introductory Team Meeting,Meeting,46063,5 pm,All Synergy core members ,None,Approved,Lecture Hall 
,52cf12d4-bf7d-4087-a338-c5d007641d7e,Music Society,Orientation for Music Society,Orientation,46065,6pm,Student,None,Approved,
,d4e81e57-1ac0-42d6-8ac6-60d0516ec915,Student Research Forum (SRF) (SONAM),Foundations of Research: How to Begin and Build,Workshop/Session,46070,4:30 PM,"All SONAM students (BScN, MScN and Post-RN)",None,Approved,
,f40f15d0-fb87-4091-a800-2e771c5f8c21,Sports Society,FAS Volleyball Championship ,Sports,46063,6.30 PM (10th -11th Feb),FAS Students ,Office of Student Experience Pakistan (OSEP),Approved,
,da75c896-81c0-4621-a558-53daaf75b945,Public Speaking Forum (PSF),PSF Orientation,Orientation,46069,05:15pm (1715 hrs),"First Year Batches of MBBS, FAS, SONAM",None,Approved,Lecture Hall 3
,fe9faff8-baa5-44de-9e2d-48d9dd7ce1cc,Sports Society,FAS Inter-Batch Ramadan Cricket League,Sports,46074,"21 February, 2026 - 7:00PM  |  22 February, 2026 - 7:00PM",150+,Office of Student Experience Pakistan (OSEP),Approved,
,24684c09-64e4-4303-9f02-70c956a9fdae,Sports Society,Intra batch futsal tournament ,Sports,46067,7:00 pm ,Students,None,Approved,
,00287825-a33b-45d0-826a-108c408aa27e,Activity Club IED,Research Cafe,Workshop/Session,46080,3:30,M.Phil Students,Office of Student Experience Pakistan (OSEP),Approved,
,51488967-025d-478c-af24-264b8aedd64d,Office of Student Experience Pakistan (OSEP),Sonam Ramzan circket league,Sports,46076,5:30 pm ,All sonam classes ,None,Approved,
,7890487d-3e9a-4aac-ab30-63ed2b334697,Activity Club IED,Welcome party for MPhil cohort 2026,Recreational/Social,46108,6:00 pm,AKU IED students and Teachers ,Office of Student Experience Pakistan (OSEP),Approved,
,c8d333f6-b204-4e6b-94cf-d58a31c83024,Society for Arts and Culture (SAC),Iftar ,Recreational/Social,46087,5,Everyone ,,Approved,
,f4cd0ac5-23ac-4c48-b2c6-1af744338e17,Sports Society,Ramzan Cricket league MBBS,Sports,46080,5pm,mbbs students ,None,Approved,
,8984454c-da4d-4ade-b417-eee51d0ee2b6,Arts and Culture Committee (AAC) (AKU-SONAM),Batch Sehri,Batch exclusive gathering ,46082,2:30 am,SON Batch 026,None,Approved,
,74942b36-be8b-45af-8e3c-4c6e945f82b6,Society of Climate Conservation and Health (SoCCH),Eco Jeopardy + Iftaar,Competition,46093,4 pm,"Undergraduate students from MBBS, FAS, and SONAM",Synergy (MBBS),Approved,
,b9b15157-cb34-4828-b430-8aeda9de0736,Synergy (MBBS),Book fair,Stall/ book fair,46080,12:30 pm,"First, second, third year mbbs",None,Approved,
,58a57322-d7bd-465b-b1da-25f33ea90f28,FALAH (MBBS),Hour of Impact,Workshop/Session,46108,5pm,All non-AKU students,FALAH (MBBS),Approved,
,bd90fb0b-7061-4308-aaf9-4cd5c6ee0fec,Aurora,Because Every Soul Deserves a Spring,Recreational/Social,46085,1:00 pm,All AKU Students ,Society for Arts and Culture,Approved,
,a7dc598e-c9cb-47bf-99d0-db08d61ddae4,Public Speaking Forum (PSF),AKUMUN II,Competition,46115,3 pm,All AKU students,Office of Student Experience Pakistan (OSEP);Public Speaking Forum (PSF),Approved,
,78a78b7c-5ad5-448c-bea2-0e9d9d7c1feb,Student Research Forum (SRF) (FAS),Society Orientation,Orientation,46087,1 pm,FAS Students,None,Approved,
,71a92074-2661-40db-8865-c3c50b8cbf48,Activity Club IED,International Womens' day celebration,Recreational/Social,46097,in between 1-4,"students, faculty, staff",None,Approved,
,4b769bb9-889d-46ed-b4a2-eef302ed8cd6,FALAH (FAS),Iftar Drive ,Welfare,46097,6:00 PM ,underserved communities outside AKU,FALAH (MBBS);FALAH (SONAM),Approved,
,5af9a341-064e-4433-8fd3-1b9af67216cd,Arts and Culture Committee (ACC) (AKU-MC),Game Night,Recreational/Social,46088,8pm,Third Year Students,None,Approved,
,94595eaf-c7bd-4d65-b5fc-2722a42686b4,Sports Society,Inter Department Ramadan Cricket Tournament,Sports,46091,7:00PM - 10:00PM (3/10/2026),Students from all Departments to support and cheer for their teams ,Office of Student Experience Pakistan (OSEP);Sports Society,Approved,
